"product_name","brand","price","original_price","url","image_url"
"OPPO Find X9 12GB 256GB","Oppo","22.990.000đ","","https://cellphones.com.vn/dien-thoai-oppo-find-x9.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/9/x9.jpg"
"iPhone Air 256GB | Chính hãng","Apple","30.890.000đ","31.990.000đ","https://cellphones.com.vn/iphone-air-256gb.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone_air-3_2.jpg"
"Điện thoại iPhone 16 Pro Max 256GB","Apple","30.590.000đ","34.990.000đ","https://cellphones.com.vn/iphone-16-pro-max.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-16-pro-max.png"
"iPhone 17 256GB | Chính hãng","Apple","24.990.000đ","","https://cellphones.com.vn/iphone-17-256gb.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone_17_256gb-3_2.jpg"
"Samsung Galaxy S25 Ultra 12GB 256GB","Samsung","28.280.000đ","33.380.000đ","https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25-ultra.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-samsung-galaxy-s25-ultra_3__3.png"
"iPhone 17 Pro 256GB | Chính hãng","Apple","34.790.000đ","34.990.000đ","https://cellphones.com.vn/iphone-17-pro.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-17-pro-256-gb.png"
"iPhone 17 Pro Max 256GB | Chính hãng","Apple","37.990.000đ","","https://cellphones.com.vn/iphone-17-pro-max.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-17-pro-max_3.jpg"
"iPhone 15 128GB | Chính hãng VN/A","Apple","16.990.000đ","19.990.000đ","https://cellphones.com.vn/iphone-15.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-15-plus_1__1.png"
"Samsung Galaxy Z Flip7 12GB 256GB","Samsung","25.990.000đ","28.990.000đ","https://cellphones.com.vn/dien-thoai-samsung-galaxy-z-flip-7.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-z-flip-7-1.jpg"
"Xiaomi 15T 5G 12GB 512GB","Xiaomi","14.490.000đ","14.990.000đ","https://cellphones.com.vn/dien-thoai-xiaomi-15t-5g.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-15t-5g-22.jpg"
"iPhone 17 Pro 512GB | Chính hãng","Apple","40.990.000đ","41.490.000đ","https://cellphones.com.vn/iphone-17-pro-512gb.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone_17_pro_512gb.jpg"
"Xiaomi 14T Pro 12GB 512GB","Xiaomi","14.390.000đ","17.670.000đ","https://cellphones.com.vn/xiaomi-14t-pro.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi_14t_pro_1_.png"
"Xiaomi 15T Pro 5G 12GB 512GB","Xiaomi","18.990.000đ","19.490.000đ","https://cellphones.com.vn/dien-thoai-xiaomi-15t-pro-5g.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-15t-pro-5g_1.jpg"
"iPhone 16e 128GB | Chính hãng VN/A","Apple","12.490.000đ","16.990.000đ","https://cellphones.com.vn/iphone-16e.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-16e-128gb.png"
"iPhone 16 Pro 128GB | Chính hãng VN/A","Apple","25.790.000đ","28.990.000đ","https://cellphones.com.vn/iphone-16-pro.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-16-pro_1.png"
"OPPO Find X9 Pro 16GB 512GB","Oppo","32.990.000đ","","https://cellphones.com.vn/dien-thoai-oppo-find-x9-pro.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/o/p/oppo_find_x9_pro_16gb_512gb-1.jpg"
"OPPO FIND N5","Oppo","44.180.000đ","44.990.000đ","https://cellphones.com.vn/dien-thoai-oppo-find-n5.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-oppo-find-n5_h_nh_2.png"
"Samsung Galaxy S24 Plus 12GB 256GB","Samsung","16.790.000đ","18.650.000đ","https://cellphones.com.vn/samsung-galaxy-s24-plus.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/a/galaxy-s24-plus-tim.png"
"iPhone 17 512GB | Chính hãng","Apple","31.490.000đ","","https://cellphones.com.vn/iphone-17-512gb.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone_17_256gb-3_3.jpg"
"Samsung Galaxy S25 256GB","Samsung","17.190.000đ","22.580.000đ","https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-samsung-galaxy-s25_1__2.png"
"Xiaomi POCO X7 Pro 5G 12GB 256GB - Chỉ có tại CellphoneS","Xiaomi","9.250.000đ","9.990.000đ","https://cellphones.com.vn/dien-thoai-poco-x7-pro-5g.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-poco-x7-pro-5g_1_.png"
"Xiaomi Redmi Note 14 6GB 128GB","Xiaomi","4.390.000đ","4.900.000đ","https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-14.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-xiaomi-redmi-note-14_2__2.png"
"iPhone 14 128GB | Chính hãng VN/A","Apple","13.590.000đ","14.990.000đ","https://cellphones.com.vn/iphone-14.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-14_2_1.jpg"
"Samsung Galaxy Z Fold7 12GB 256GB","Samsung","41.990.000đ","46.990.000đ","https://cellphones.com.vn/dien-thoai-samsung-galaxy-z-fold-7.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-z-fold-7.jpg"
"Samsung Galaxy A56 5G 8GB 128GB","Samsung","9.510.000đ","9.810.000đ","https://cellphones.com.vn/dien-thoai-samsung-galaxy-a56.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-samsung-galaxy-a56.1_1.png"
"HONOR X7d 8GB 256GB","Other","5.390.000đ","5.690.000đ","https://cellphones.com.vn/dien-thoai-honor-x7d.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-honor-x7d-12.jpg"
"iPhone 13 128GB | Chính hãng VN/A","Apple","12.090.000đ","13.990.000đ","https://cellphones.com.vn/iphone-13.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-13_2_2.jpg"
"iPhone 16 Pro Max 512GB | Chính hãng VN/A","Apple","36.890.000đ","40.990.000đ","https://cellphones.com.vn/iphone-16-pro-max-512gb.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-16-pro-max_1.png"
