"full_date","num_products","avg_price","min_price","max_price"
"2025-11-25","220","13965636.363636","420000.00","63990000.00"
"2025-11-24","220","13880500.000000","420000.00","63990000.00"
"2025-11-23","221","13823257.918552","420000.00","63990000.00"
"2025-11-22","221","13673936.651584","420000.00","63990000.00"
"2025-11-21","220","13576409.090909","420000.00","63990000.00"
"2025-11-19","220","13734045.454545","0.00","63990000.00"
"2025-11-18","220","13607681.818182","0.00","63990000.00"
